valor,prediccion,valor_real,error,error_promedio,desviacion_estandar,diferencias_mayores_a_3,error_promedio_acumulativo,desviacion_estandar_acumulativa,error_relativo_porcentual
1816,4.1879997,36.276,-32.08800027465821,29.433769988059996,1.6202105988589852,4,29.977026559193927,1.5230229932229755,88.45517773364816
1816,4.1879997,31.992,-27.804000274658204,29.433769988059996,1.6202105988589852,4,29.433769988059996,1.6202105988589852,86.90922816534822
1817,4.1971526,33.48,-29.28284738540649,29.418712052345278,1.6274891917431582,4,29.28284738540649,0.0,87.46370186800027
1817,4.1879997,36.276,-32.08800027465821,29.418712052345278,1.6274891917431582,4,30.68542383003235,1.4025764446258577,88.45517773364816
1817,4.1879997,31.992,-27.804000274658204,29.418712052345278,1.6274891917431582,4,29.724949311574303,1.7766550190064043,86.90922816534822
1817,4.1879997,32.688,-28.500000274658206,29.418712052345278,1.6274891917431582,4,29.418712052345278,1.6274891917431582,87.18795972423582
1818,4.1974506,36.276,-32.07854936218262,29.769637546539307,1.7076980385319194,4,32.07854936218262,0.0,88.42912493710061
1818,4.1879997,31.992,-27.804000274658204,29.769637546539307,1.7076980385319194,4,29.94127481842041,2.1372745437622083,86.90922816534822
1818,4.1879997,32.688,-28.500000274658206,29.769637546539307,1.7076980385319194,4,29.460849970499677,1.872674838995982,87.18795972423582
1818,4.1879997,34.884,-30.696000274658203,29.769637546539307,1.7076980385319194,4,29.769637546539307,1.7076980385319194,87.99449683137887
1819,4.197822,31.992,-27.794177906036378,29.63154468250275,1.534301651269224,4,27.794177906036378,0.0,86.8785255877606
1819,4.1879997,32.688,-28.500000274658206,29.63154468250275,1.534301651269224,4,28.147089090347293,0.35291118431091384,87.18795972423582
1819,4.1879997,34.884,-30.696000274658203,29.63154468250275,1.534301651269224,4,28.996726151784262,1.2356363306716325,87.99449683137887
1819,4.1879997,35.724,-31.5360002746582,29.63154468250275,1.534301651269224,4,29.63154468250275,1.534301651269224,88.27678948230378
1820,4.1982026,32.688,-28.489797389984133,30.807449553489683,1.4837950836736138,4,28.489797389984133,0.0,87.1567467877635
1820,4.1879997,34.884,-30.696000274658203,30.807449553489683,1.4837950836736138,4,29.59289883232117,1.103101442337035,87.99449683137887
1820,4.1879997,35.724,-31.5360002746582,30.807449553489683,1.4837950836736138,4,30.240599313100176,1.284622001599467,88.27678948230378
1820,4.1879997,36.696,-32.5080002746582,30.807449553489683,1.4837950836736138,4,30.807449553489683,1.4837950836736138,88.58731271707599
1821,4.1986012,34.884,-30.685398754119873,31.512349894523624,0.6543557107606062,4,30.685398754119873,0.0,87.96410604896191
1821,4.1879997,35.724,-31.5360002746582,31.512349894523624,0.6543557107606062,4,31.110699514389037,0.4253007602691632,88.27678948230378
1821,4.1879997,36.696,-32.5080002746582,31.512349894523624,0.6543557107606062,4,31.57646643447876,0.744623935614537,88.58731271707599
1821,4.1879997,35.508,-31.320000274658206,31.512349894523624,0.6543557107606062,4,31.512349894523624,0.6543557107606062,88.20547559608596
1822,4.1990438,35.724,-31.524956249237057,31.45823926830292,0.721545368299865,4,31.524956249237057,0.0,88.24587461996714
1822,4.1879997,36.696,-32.5080002746582,31.45823926830292,0.721545368299865,4,32.016478261947626,0.49152201271057194,88.58731271707599
1822,4.1879997,35.508,-31.320000274658206,31.45823926830292,0.721545368299865,4,31.784318932851154,0.5185156707619851,88.20547559608596
1822,4.1879997,34.668,-30.480000274658202,31.45823926830292,0.721545368299865,4,31.45823926830292,0.721545368299865,87.91969618858371
1823,4.1995497,36.696,-32.496450325012205,30.9961127872467,1.0408465668592808,4,32.496450325012205,0.0,88.55583803415142
1823,4.1879997,35.508,-31.320000274658206,30.9961127872467,1.0408465668592808,4,31.908225299835205,0.5882250251769996,88.20547559608596
1823,4.1879997,34.668,-30.480000274658202,30.9961127872467,1.0408465668592808,4,31.43215029144287,0.8270231440097935,87.91969618858371
1823,4.1879997,33.876,-29.6880002746582,30.9961127872467,1.0408465668592808,4,30.9961127872467,1.0408465668592808,87.63726613135613
1824,4.200077,35.508,-31.307922943115237,29.96098094177246,1.0834827725105258,4,31.307922943115237,0.0,88.1714626087508
1824,4.1879997,34.668,-30.480000274658202,29.96098094177246,1.0834827725105258,4,30.89396160888672,0.41396133422851733,87.91969618858371
1824,4.1879997,33.876,-29.6880002746582,29.96098094177246,1.0834827725105258,4,30.491974497477212,0.6613848599488454,87.63726613135613
1824,4.1879997,32.556,-28.3680002746582,29.96098094177246,1.0834827725105258,4,29.96098094177246,1.0834827725105258,87.13601263870932
1825,4.200673,34.668,-30.46732689666748,29.747831930160523,0.8578797520299397,4,30.46732689666748,0.0,87.88313977347259
1825,4.1879997,33.876,-29.6880002746582,29.747831930160523,0.8578797520299397,4,30.07766358566284,0.38966331100463947,87.63726613135613
1825,4.1879997,32.556,-28.3680002746582,29.747831930160523,0.8578797520299397,4,29.50777581532796,0.8664693525162448,87.13601263870932
1825,4.1879997,34.656,-30.468000274658202,29.747831930160523,0.8578797520299397,4,29.747831930160523,0.8578797520299397,87.9155132579011
1826,4.201292,33.876,-29.67470796203613,30.275677196502684,1.5331940539035198,4,29.67470796203613,0.0,87.59802799042428
1826,4.1879997,32.556,-28.3680002746582,30.275677196502684,1.5331940539035198,4,29.021354118347165,0.653353843688965,87.13601263870932
1826,4.1879997,34.656,-30.468000274658202,30.275677196502684,1.5331940539035198,4,29.503569503784178,0.8658199500741645,87.9155132579011
1826,4.1879997,36.78,-32.592000274658204,30.275677196502684,1.5331940539035198,4,30.275677196502684,1.5331940539035198,88.6133775819962
1827,4.2019973,32.556,-28.354002719879148,31.085500885963437,1.837575416259321,4,28.354002719879148,0.0,87.09301732362437
1827,4.1879997,34.656,-30.468000274658202,31.085500885963437,1.837575416259321,4,29.411001497268675,1.056998777389527,87.9155132579011
1827,4.1879997,36.78,-32.592000274658204,31.085500885963437,1.837575416259321,4,30.471334423065183,1.7301568630209065,88.6133775819962
1827,4.1879997,37.116,-32.9280002746582,31.085500885963437,1.837575416259321,4,31.085500885963437,1.837575416259321,88.71645725471011
1828,4.204072,34.656,-30.451928001403807,32.0869822063446,0.9642728267274053,4,30.451928001403807,0.0,87.86913666148375
1828,4.1879997,36.78,-32.592000274658204,32.0869822063446,0.9642728267274053,4,31.521964138031006,1.0700361366271984,88.6133775819962
1828,4.1879997,37.116,-32.9280002746582,32.0869822063446,0.9642728267274053,4,31.990642850240068,1.0966483907864923,88.71645725471011
1828,4.1879997,36.564,-32.3760002746582,32.0869822063446,0.9642728267274053,4,32.0869822063446,0.9642728267274053,88.54611167995351
1829,4.205147,36.78,-32.57485321044922,32.75271350860596,0.2950131554470092,4,32.57485321044922,0.0,88.56675696152588
1829,4.1879997,37.116,-32.9280002746582,32.75271350860596,0.2950131554470092,4,32.75142674255371,0.17657353210449145,88.71645725471011
1829,4.1879997,36.564,-32.3760002746582,32.75271350860596,0.2950131554470092,4,32.62628458658855,0.22826868647668724,88.54611167995351
1829,4.1879997,37.32,-33.1320002746582,32.75271350860596,0.2950131554470092,4,32.75271350860596,0.2950131554470092,88.77813578418596
1830,4.205571,37.116,-32.91042882537842,34.25860741233826,2.530706983060731,4,32.91042882537842,0.0,88.66911527475595
1830,4.1879997,36.564,-32.3760002746582,34.25860741233826,2.530706983060731,4,32.643214550018314,0.2672142753601072,88.54611167995351
1830,4.1879997,37.32,-33.1320002746582,34.25860741233826,2.530706983060731,4,32.80614312489828,0.3173227909594851,88.77813578418596
1830,4.1879997,42.804,-38.616000274658205,34.25860741233826,2.530706983060731,4,34.25860741233826,2.530706983060731,90.21586831758295
1831,4.2056303,36.564,-32.3583696975708,34.99959263038635,2.4667162099189546,4,32.3583696975708,0.0,88.49789327636692
1831,4.1879997,37.32,-33.1320002746582,34.99959263038635,2.4667162099189546,4,32.7451849861145,0.3868152885437013,88.77813578418596
1831,4.1879997,42.804,-38.616000274658205,34.99959263038635,2.4667162099189546,4,34.70212341562907,2.7854921908804524,90.21586831758295
1831,4.1879997,40.08,-35.8920002746582,34.99959263038635,2.4667162099189546,4,34.99959263038635,2.4667162099189546,89.55089888886776
1832,4.2055917,37.32,-33.114408321380616,36.301602286338806,2.0812833677217784,4,33.114408321380616,0.0,88.73099764571441
1832,4.1879997,42.804,-38.616000274658205,36.301602286338806,2.0812833677217784,4,35.86520429801941,2.750795976638795,90.21586831758295
1832,4.1879997,40.08,-35.8920002746582,36.301602286338806,2.0812833677217784,4,35.874136290232336,2.246051030371135,89.55089888886776
1832,4.1879997,41.772,-37.5840002746582,36.301602286338806,2.0812833677217784,4,36.301602286338806,2.0812833677217784,89.97414601804607
